text	label	text_tok	rus_entity	textID
Международные платежные системы Visa и MasterCard не станут блокировать карты, выпущенные Банком Москвы, ВТБ и Россельхозбанком. Об этом	1	международные платежные системы visa и mastercard не станут блокировать карты , выпущенные банкмосквы , втб и россельхозбанк . об этом	банкмосквы	11
"Новая система в БМ двигаться по талонам как бы ""в действии"" и как бы ""нет""! Плюс консультанты не могут связать двух слов! #bm #банкмосквы"	-1	новая система в банкмосквы двигаться по талонам как бы в действии и как бы нет ! плюс консультанты не могут связать двух слов !	банкмосквы	12
Санкции накрыли банки и корабли.США запретили своим гражданам и компаниям сотрудничать с ВТБ, Банком Москвы, Россельхозбанком и Объединенно	-1	санкции накрыли банки и корабли . сша запретили своим гражданам и компаниям сотрудничать с втб , банкмосквы , россельхозбанк и объединенно	банкмосквы	13
@euromaidan и че? Гражданам России то что с того? Банк Москвы,ВТБ и РСБ в основном базируются в России	0	и че ? гражданам россии то что с того , банкмосквы втб и рсб в основном базируются в россии	банкмосквы	14
"RT @GoodGhostRu: ""Наш банк развивается, но сейчас нет технической возможности выслать вам информацию на электронную почту"" #БанкМосквы #сер…"	0	наш банкмосквы развивается , но сейчас нет технической возможности выслать вам информацию на электронную почту	банкмосквы	15
Речь о ВТБ, Банке Москвы и Россельхозбанке.	0	речь о втб , банкмосквы и россельхозбанк .	банкмосквы	16
Банкоматов Сбербанка с 2016 года станет меньше — банк будет сокращать их сеть: Сбербанк России планирует сокра... http://t.co/QNsYiWaNIc	-1	банкоматов сбербанк с 2016 года станет меньше банк будет сокращать их сеть : сбербанк россии планирует сокра ...	сбербанк	17
Сбербанк начнет сокращать банкоматную сеть с 2016 г. http://t.co/UQUALFRVLS @sberbank #ПЛАС #банкомат	-1	сбербанк начнет сокращать банкоматную сеть с 2016 г . сбербанк	сбербанк	18
Кредит на 10 лет сбербанк: кредит на 10 лет сбербанк http://t.co/QRn59GR3yX	0	кредит на 10 лет сбербанк : кредит на 10 лет сбербанк	сбербанк	19
сбербанк кредиты физическим лицам онлайн http://t.co/298M3psMqi	0	сбербанк кредиты физическим лицам онлайн	сбербанк	20
Сбербанк запустил новую версию сайта http://t.co/PUFSo06FGM	1	сбербанк запустил новую версию сайта	сбербанк	21
http://t.co/KEAKEg3Hfl #сбербанк зубовская площадь	0	сбербанк зубовская площадь	сбербанк	22
RT @GazetaRu_All: Сбербанк обновил свой сайт http://t.co/hvWJHAUaPL	1	сбербанк обновил свой сайт	сбербанк	23
RT @raimov_ruslan: Наверное, нет смысла говорить,ч то сбербанк отстой! Более идиотского обслуживания и придумать нельзя.	-1	наверное , нет смысла говорить , ч то сбербанк отстой ! более идиотского обслуживания и придумать нельзя .	сбербанк	24
Сбербанк обновил свой сайт	1	сбербанк обновил свой сайт	сбербанк	25
@Tattishka_ сбербанк зло ! (=^-^=)	-1	сбербанк зло ! ( - )	сбербанк	26
RT @Adairrasi: Сбербанк опроверг трудоустройство Якеменко	0	сбербанк опроверг трудоустройство якеменко	сбербанк	27
Хай-Тэк: Сбербанк обновил свой сайт	1	хай-тэк : сбербанк обновил свой сайт	сбербанк	28
RT @vor199009luse: Сбербанк повысит обороты	1	сбербанк повысит обороты	сбербанк	29
Кредит на 10 лет сбербанк: кредит на 10 лет сбербанк http://t.co/BFT4uQ16HL	0	кредит на 10 лет сбербанк : кредит на 10 лет сбербанк	сбербанк	30
«Уралкалий» берет кредит $2 млрд. у «Сбербанка»	0	уралкалий берет кредит 2 млрд . у сбербанк	сбербанк	31
@sberbank Здравствуйте! help, pls! мне нужна форма заявления на перевод зарплаты на существующую банк.карту vvv721601@yandex.ru СПС	0	сбербанк здравствуйте ! help , pls ! мне нужна форма заявления на перевод зарплаты на существующую банк . карту vvv 721601 спс	сбербанк	32
RT @Egor_lovi_topor: В следующий раз возьму с собой в сбербанк вязание	-1	в следующий раз возьму с собой в сбербанк вязание	сбербанк	33
Сбербанк аккредитовал корпус № 11 микрорайона «Изумрудные холмы»	0	сбербанк аккредитовал корпус 11 микрорайона изумрудные холмы	сбербанк	34
В эти выходные в Арсенале стартовала елка для детей! Клиенты Сбербанк1 и Мерседес Бенц Плаза смогли первыми... http://t.co/HerOAvixFc	0	в эти выходные в арсенале стартовала елка для детей ! клиенты сбербанк и мерседес бенц плаза смогли первыми ...	сбербанк	35
Сбербанк России Миасс http://t.co/sKINEbjJ1t	0	сбербанк россии миасс	сбербанк	36
Сбербанк запустил новую версию сайта	1	сбербанк запустил новую версию сайта	сбербанк	37
кредит онлайн заявка сбербанк http://t.co/sOlpOrFQjc	0	кредит онлайн заявка сбербанк	сбербанк	38
@sberbank Я сейчас позвонил в Call-центр Сбербанка там мне отвечают закрытие карты по месту ведения счета	0	сбербанк я сейчас позвонил в call-центр сбербанк там мне отвечают закрытие карты по месту ведения счета	сбербанк	39
@sberbank У вас на сайте Сбербанка телефоны указаны с недействующими кодами 495	-1	сбербанк у вас на сайте сбербанк телефоны указаны с недействующими кодами 495	сбербанк	40
Прибыль Сбербанка по МСФО в I кв. упала на 4%	-1	прибыль сбербанк по мсфо в i кв . упала на 4	сбербанк	41
RT @FanatFCSMsobi: образец платёжного поручения сбербанка http://t.co/QkfQqYfLe8	0	образец платежного поручения сбербанк	сбербанк	42
@LakeMtkaLiberty, Кредиты для бизнеса сбербанк екатеринбург http://t.co/N5yUBwWUVU	0	кредиты для бизнеса сбербанк екатеринбург	сбербанк	43
"Когда старший контролер #Сбербанк взял мои документы и сказал: ""А вы пока посидите"", я поняла, что мне ждать ещё один час, как минимум"	-1	когда старший контролер сбербанк взял мои документы и сказал : а вы пока посидите , я поняла , что мне ждать еще один час , как минимум	сбербанк	44
"Год не экономии,а год воровства и мошенничества со стороны банков.
        Сбербанк России является банком... http://t.co/5IDp96kKpw"	-1	год не экономии , а год воровства и мошенничества со стороны банков . сбербанк россии является банком ...	сбербанк	45
Кредит на 10 лет сбербанк: кредит на 10 лет сбербанк http://t.co/xpKUwzW8Hn	0	кредит на 10 лет сбербанк : кредит на 10 лет сбербанк	сбербанк	46
@sberbank я думала, что есть какой-то утвержденный шаблон	0	сбербанк я думала , что есть какой-то утвержденный шаблон	сбербанк	47
Банкоматы Сбербанка начнут говорить на китайском и французском языках http://t.co/UF81MtZinJ	0	банкоматы сбербанк начнут говорить на китайском и французском языках	сбербанк	48
Убить что ль этот отдел мотивации????ни хера не могут посчитать!!  Бесит!! @sberbank	-1	убить что ль этот отдел мотивации ???? ни хера не могут посчитать !! бесит !! сбербанк	сбербанк	49
RT @lentakreditov: Московское отделение Сбербанка увеличило выдачу ипотеки | Новости банков, новости кредитования http://t.co/fVSfVqJiPx	1	московское отделение сбербанк увеличило выдачу ипотеки новости банков , новости кредитования	сбербанк	50
"ФАС разрешила ""Сбербанку"" купить ""Яндекс.Деньги"""	0	фас разрешила сбербанк купить яндекс . деньги	сбербанк	51
Сбербанк России обновил веб-сайт http://t.co/ED3ll5aV2K	1	сбербанк россии обновил веб-сайт	сбербанк	52
Сбербанк России обновил веб-сайт http://t.co/343H6E1cek	1	сбербанк россии обновил веб-сайт	сбербанк	53
"#РИА #экономика ""Сбербанк Лизинг"" на свое 20-летие реализует спецпрограмму ""Юбилейная"" http://t.co/W6sVRnFtvD"	0	сбербанк лизинг на свое 20-летие реализует спецпрограмму юбилейная	сбербанк	54
сбербанк кредит для студента http://t.co/YVne3HNfGj	0	сбербанк кредит для студента	сбербанк	55
Сбербанку Югры назначили управляющего http://t.co/PXT8V8gZ0W	0	сбербанк югры назначили управляющего	сбербанк	56
@sberbank Зная номер карты можно снять деньги с нее?	0	сбербанк зная номер карты можно снять деньги с нее ?	сбербанк	57
Не во всех сбербанках работают менеджеры в залах:( Кому написать, чтобы приняли меры? Жалко пенсионеров и не только:(	-1	не во всех сбербанк работают менеджеры в залах :( кому написать , чтобы приняли меры ? жалко пенсионеров и не только :(	сбербанк	58
Станет ли Почта России конкурентом Сбербанку | Навигатор Киров http://t.co/RgbjkYBayd	0	станет ли почта россии конкурентом сбербанк навигатор киров	сбербанк	59
Сбербанк кредит со скольки лет: сбербанк кредит со скольки лет http://t.co/2M4l2RCenP	0	сбербанк кредит со скольки лет : сбербанк кредит со скольки лет	сбербанк	60
Сбербанк кредит со скольки лет: сбербанк кредит со скольки лет http://t.co/y0IBlJ7cVu	0	сбербанк кредит со скольки лет : сбербанк кредит со скольки лет	сбербанк	61
Забрала карточку в сбербанке, теперь нужно понять где взять пароль ....	0	забрала карточку в сбербанк , теперь нужно понять где взять пароль ....	сбербанк	62
На вопросы читателей «Молодого коммунара» ответит управляющий Тульским отделением № 8604 ОАО «Сбербанк России»... http://t.co/B6JiCFbGR1	0	на вопросы читателей молодого коммунара ответит управляющий тульским отделением 8604 оао сбербанк россии ...	сбербанк	63
сбербанк справка по форме банка http://t.co/obvU64Ytqf	0	сбербанк справка по форме банка	сбербанк	64
Досрочное погашение кредита в сбербанке | Особенности досрочного погашения кредита в Сбербанке России | Кредит... http://t.co/Lcu1G4CBgL	0	досрочное погашение кредита в сбербанк особенности досрочного погашения кредита в сбербанк россии кредит ...	сбербанк	65
"""Страхование банковских карт""  /   /  Северо-Западный банк Сбербанка России совместно с ОАО «АльфаСтрах.. http://t.co/qVfGj1VcU5"	0	страхование банковских карт северо-западный банк сбербанк россии совместно с оао альфабанк ..	сбербанк	66
"Позвонила в @sberbank сегодня раз 5, в итоге они мне сами начали звонить)))

Очень приветливые операторы, #спасибо за обслуживание!"	1	позвонила в сбербанк сегодня раз 5 , в итоге они мне сами начали звонить ) ) ) очень приветливые операторы , за обслуживание !	сбербанк	67
@HelenByrne15, Виртуальная кредитная карта сбербанка http://t.co/dUiQkQZfJX	0	виртуальная кредитная карта сбербанк	сбербанк	68
Сбербанк России обновил веб-сайт	1	сбербанк россии обновил веб-сайт	сбербанк	69
Сбербанк России обновил веб-сайт: Сбербанк России обновил свой веб-сайт. http://t.co/Z0j1yMNps9	1	сбербанк россии обновил веб-сайт : сбербанк россии обновил свой веб-сайт .	сбербанк	70
Сбербанк запустил новую версию сайта http://t.co/BtTwFrhGDq	1	сбербанк запустил новую версию сайта	сбербанк	71
Филиал ада @ Сбербанк Марьинорощинское Отделение 7981 http://t.co/wT8mnbFvvW	-1	филиал ада сбербанк марьинорощинское отделение 7981	сбербанк	72
сбербанк банкомат инструкция пользователя http://t.co/AVM4PJZVfG #инструкция	0	сбербанк банкомат инструкция пользователя	сбербанк	73
Пришёл в Сбербанк насчёт карточки, всё быстро и оперативно решили. Даже неожиданно как-то, рад за них ну и за себя тоже.	1	пришел в сбербанк насчет карточки , все быстро и оперативно решили . даже неожиданно как-то , рад за них ну и за себя тоже .	сбербанк	74
@sberbank все спасибо, готово:)	1	сбербанк все спасибо , готово :)	сбербанк	75
Кредит 50000 рублей сбербанк http://t.co/jBLDflBJsq	0	кредит 50000 рублей сбербанк	сбербанк	76
24 декабря 2013 года АСВ начинает выплату страхового возмещения вкладчикам Смоленского Банка через Сбербанк России и Россельхозбанк.	0	24 декабря 2013 года асв начинает выплату страхового возмещения вкладчикам смоленского банка через сбербанк россии и россельхозбанк .	сбербанк	77
24 декабря 2013 года АСВ начинает выплату страхового возмещения вкладчикам Смоленского Банка через Сбербанк России и Россельхозбанк.	0	24 декабря 2013 года асв начинает выплату страхового возмещения вкладчикам смоленского банка через сбербанк россии и россельхозбанк .	россельхозбанк	78
@InderGhai1, сбербанк россии кредит взять http://t.co/K0xgD5exjA	0	сбербанк россии кредит взять	сбербанк	79
RT @viktoria_ak: Сбербанк после 2016 года будет сокращать число банкоматов http://t.co/aXebicULFy @RETWITclub #1_ny	-1	сбербанк после 2016 года будет сокращать число банкоматов	сбербанк	80
DenizBank Сбербанка покупает http://t.co/Zp4RYE9lDC в Турции бизнес по обслуживанию физлиц	0	denizbank сбербанк покупает в турции бизнес по обслуживанию физлиц	сбербанк	81
@kowoxiheke Сбербанк #обновил #свой сайт:	1	сбербанк сайт :	сбербанк	82
Сбербанк обновил официальный сайт: http://t.co/eIS9WiW7LS	1	сбербанк обновил официальный сайт :	сбербанк	83
"Отказаться от услуг сбербанка труднее, чем кажется.
#сбербанк #ненависть #боль #автоплатеж"	-1	отказаться от услуг сбербанк труднее , чем кажется . сбербанк	сбербанк	84
RT @akimahkwa: ипотека в москве сбербанк http://t.co/A8guhFpixX #первыйснег	0	ипотека в москве сбербанк	сбербанк	85
Сбербанк запустил новую версию сайта http://t.co/8WQkUbXDOH @sberbank #ПЛАС	1	сбербанк запустил новую версию сайта сбербанк	сбербанк	86
Сбербанк России обновил веб-сайт: Сбербанк России обновил свой веб-сайт. http://t.co/4i6eb5mwel	1	сбербанк россии обновил веб-сайт : сбербанк россии обновил свой веб-сайт .	сбербанк	87
Сбербанк России обновил веб-сайт  #HiTech	1	сбербанк россии обновил веб-сайт	сбербанк	88
RT @Narnnusi: Сбербанк повысит обороты	1	сбербанк повысит обороты	сбербанк	89
http://t.co/YEVHuvVGA1 Взять кредит тюмень альфа банк	0	взять кредит тюмень альфабанк банк	альфабанк	90
Отчет по производственной практике по сбербанку валютный отдел: отчет по производственной практике по сбербанк... http://t.co/YWtJjpGDdR	0	отчет по производственной практике по сбербанк валютный отдел : отчет по производственной практике по сбербанк ...	сбербанк	91
Московские банкоматы Сбербанка временно не будут принимать пятитысячные купюры #обед	-1	московские банкоматы сбербанк временно не будут принимать пятитысячные купюры	сбербанк	92
Светлана Пеунова. Что такое Сбербанк и ВТБ24. Считается, что ВТБ принадлежит Путину. //u.to/qnFuBQ #новости	0	светлана пеунова . что такое сбербанк и втб . считается , что втб принадлежит путину . u . to qnfubq	сбербанк	93
Светлана Пеунова. Что такое Сбербанк и ВТБ24. Считается, что ВТБ принадлежит Путину. //u.to/qnFuBQ #новости	0	светлана пеунова . что такое сбербанк и втб . считается , что втб принадлежит путину . u . to qnfubq	втб	94
Светлана Пеунова. Что такое Сбербанк и ВТБ24. Считается, что ВТБ принадлежит Путину.! //u.to/qnFuBQ #новости	0	светлана пеунова . что такое сбербанк и втб . считается , что втб принадлежит путину .! u . to qnfubq	сбербанк	95
Светлана Пеунова. Что такое Сбербанк и ВТБ24. Считается, что ВТБ принадлежит Путину.! //u.to/qnFuBQ #новости	0	светлана пеунова . что такое сбербанк и втб . считается , что втб принадлежит путину .! u . to qnfubq	втб	96
50000 взять в кредит в сбербанке http://t.co/nVvbDN5d2L	0	50000 взять в кредит в сбербанк	сбербанк	97
Жилстрой банк ипотека | Ипотека Жилстройсбербанк - финансы, банки Казахстана: Жилстрой банк ипотека | Рефинанс... http://t.co/i5NkGsmJib	0	жилстрой банк ипотека ипотека сбербанк - финансы , банки казахстана : жилстрой банк ипотека рефинанс ...	сбербанк	98
"Агентство по страхованию вкладов (АСВ) распределило между Сбербанком и ""ВТБ 24"" клиентов Мастер-банка, которым выплатят страховку, в С..."	0	агентство по страхованию вкладов ( асв ) распределило между сбербанк и втб 24 клиентов мастер-банка , которым выплатят страховку , в с ...	втб	99
шрифт для чеков сбербанк онлайн http://t.co/NUo47TOfhX	0	шрифт для чеков сбербанк онлайн	сбербанк	100
дневник по производственной практике в сбербанке http://t.co/YaMp39Z2I0	0	дневник по производственной практике в сбербанк	сбербанк	101
В проект госбюджета-2014 заложили 6 млрд на возврат вкладов советского Сбербанка #news	0	в проект госбюджета-2014 заложили 6 млрд на возврат вкладов советского сбербанк	сбербанк	102
Сбербанк предложил Fiat организовать промсборку машины в Черкесске	0	сбербанк предложил fiat организовать промсборку машины в черкесске	сбербанк	103
печатная форма 1с заявление сбербанк http://t.co/lvDQEmFCfo	0	печатная форма 1 с заявление сбербанк	сбербанк	104
RT @FFFFtuko: 500000 в кредит в сбербанке http://t.co/XGhPAQUwT3	0	500000 в кредит в сбербанк	сбербанк	105
RT @Domosedbuhi: Сбербанк повысит обороты	1	сбербанк повысит обороты	сбербанк	106
#где в воскресенье работает сбербанк http://t.co/73CHk605tZ	0	в воскресенье работает сбербанк	сбербанк	107
Зампред правления Сбербанка: банк ожидает понижения ставок по кредитам в 2014 году #news	0	зампред правления сбербанк : банк ожидает понижения ставок по кредитам в 2014 году	сбербанк	108
"Агентство по страхованию вкладов (АСВ) распределило между Сбербанком и ""ВТБ 24"" клиентов Мастер-банка, которым выплатят страховку, в С..."	0	агентство по страхованию вкладов ( асв ) распределило между сбербанк и втб 24 клиентов мастер-банка , которым выплатят страховку , в с ...	сбербанк	109
Сегодня долгожданный корпоратив #Сбербанк :) (@ Театр оперы и балета w/ @ecologon) http://t.co/CdYWabDBRS	0	сегодня долгожданный корпоратив сбербанк :) ( театр оперы и балета w	сбербанк	110
В Сочи появятся банкоматы Сбербанка на китайском и французском&amp;#8230;	0	в сочи появятся банкоматы сбербанк на китайском и французском amp	сбербанк	111
RT @Foxybebu: Сбербанк повысит обороты	1	сбербанк повысит обороты	сбербанк	112
ипотека молодым учителям сбербанкhttp://t.co/wHlXK4W1nV	0	ипотека молодым учителям сбербанк : t . co whlxk 4 w 1 nv	сбербанк	113
Сейчас пойду в Сбербанк, сниму денег, куплю краску для волос, поду к Беляевой, и она меня покрасит	0	сейчас пойду в сбербанк , сниму денег , куплю краску для волос , поду к беляевой , и она меня покрасит	сбербанк	114
Сбербанк с 2016 года начнет сокращать банкоматную сеть http://t.co/bOo1wNFaS8 http://t.co/mArLKrFCn8	-1	сбербанк с 2016 года начнет сокращать банкоматную сеть	сбербанк	115
RT @lyxarube: Только недавно хвалил я Сбербанк и его работников   . И вот, восторга поубавилось. Та девчушка-красавица отправила денежк	-1	только недавно хвалил я сбербанк и его работников . и вот , восторга поубавилось . та девчушка-красавица отправила денежк	сбербанк	116
RT @direidious: ипотека сбербанк новосибирск http://t.co/KlZl1d5GcS #InstaSize	0	ипотека сбербанк новосибирск	сбербанк	117
Через «Сбербанк Онлайн» удобно переводить деньги другим клиентам Сбербанка http://t.co/bqetX3FLrS	1	через сбербанк онлайн удобно переводить деньги другим клиентам сбербанк	сбербанк	118
@sberbank в офшоры тоже удобно? Пару лямов нужно по-быстрому слить...	0	сбербанк в офшоры тоже удобно ? пару лямов нужно по-быстрому слить ...	сбербанк	119
RT @good_good_girl: кредит на жильё в сбербанке http://t.co/CwB1Opm12c	0	кредит на жилье в сбербанк	сбербанк	120
"""Уралкалий"" берет кредит $2 млрд. у ""Сбербанка"" | Agro2b http://t.co/3V19KbPRyU @Uralkali_Russia @sberbank #Уралкалий #кредит #компании"	0	уралкалий берет кредит 2 млрд . у сбербанк agro 2 b сбербанк	сбербанк	121
RT @korund93: @terentym, так вот почему в отделениях @sberbank очереди всегда. Это едут люди из других регионов, чтобы обслужить счета. Тай…	-1	так вот почему в отделениях сбербанк очереди всегда . это едут люди из других регионов , чтобы обслужить счета . тай	сбербанк	122
"Чертовы сбербанки
Мы опять лохи с:"	-1	чертовы сбербанк мы опять лохи с :	сбербанк	123
Ну почему у Сбербанка всё через жопу? Почему продлить дебетовую карту можно только после 25 декабря???	-1	ну почему у сбербанк все через жопу ? почему продлить дебетовую карту можно только после 25 декабря ???	сбербанк	124
Переводы (на карту Сбербанка):  /  / 12.12.13 – 500 руб. - последние цифры карты - 8941 / 17.12.13 – 502 руб. - .. http://t.co/8PLjoATBtN	0	переводы ( на карту сбербанк ) : 12.12.13 500 руб . - последние цифры карты - 8941 17.12.13 502 руб . - ..	сбербанк	125
http://t.co/89RMOVYW7R #цены на авиабилеты через сбербанк	0	на авиабилеты через сбербанк	сбербанк	126
#Работа #Суббота #Сбербанк http://t.co/UjnJaI6xSa	0	сбербанк	сбербанк	127
Банкоматов Сбербанка с 2016 года станет меньше — банк будет сокращать их сеть http://t.co/eHfnvTzQW6	-1	банкоматов сбербанк с 2016 года станет меньше банк будет сокращать их сеть	сбербанк	128
можно ли на украине снять деньги с карты сбербанка http://t.co/31DGLxy9hb	0	можно ли на украине снять деньги с карты сбербанк	сбербанк	129
Отчет по производственной практике по сбербанку валютный отдел: отчет по производственной практике по сбербанк... http://t.co/rpY4bZPP3T	0	отчет по производственной практике по сбербанк валютный отдел : отчет по производственной практике по сбербанк ...	сбербанк	130
RT @zudevukav: карта аэрофлот бонус сбербанк http://t.co/JfwEv7UF0z	0	карта аэрофлот бонус сбербанк	сбербанк	131
Сбербанк в Нижегородской области установил более 3,5 тысяч эквайринговых терминалов http://t.co/0i4pF81ksd	1	сбербанк в нижегородской области установил более 3,5 тысяч эквайринговых терминалов	сбербанк	132
Сбербанк санкт петербург потребительские кредит http://t.co/gdP31693g9	0	сбербанк санкт петербург потребительские кредит	сбербанк	133
Ипотека для многодетных семей сбербанк | Ипотека для многодетных семей » условия получения, тарифы: Ипотека дл... http://t.co/zK2cLsEAYs	0	ипотека для многодетных семей сбербанк ипотека для многодетных семей условия получения , тарифы : ипотека дл ...	сбербанк	134
Сбербанк россии кредитные карты | Сбербанк - Кредитные карты: Сбербанк россии кредитные карты :: Главная// Кре... http://t.co/bURQBqGSmF	0	сбербанк россии кредитные карты сбербанк - кредитные карты : сбербанк россии кредитные карты : : главная кре ...	сбербанк	135
сбербанк для молодежи кредит http://t.co/HJzwauY8Sh	0	сбербанк для молодежи кредит	сбербанк	136
санкт петербург сбербанк кредит http://t.co/3e58WW7ZvD	0	санкт петербург сбербанк кредит	сбербанк	137
сбербанк кредит на неотложные нужды белгород заявка http://t.co/dSbObbWg6N	0	сбербанк кредит на неотложные нужды белгород заявка	сбербанк	138
Кредит сбербанка пенсионеру калькулятор http://t.co/ME5PWDR1fr	0	кредит сбербанк пенсионеру калькулятор	сбербанк	139
сбербанк ипотека под строительство http://t.co/MHqYGR9TRp	0	сбербанк ипотека под строительство	сбербанк	140
RT @daaoth: сбербанк материнский капитал ипотека http://t.co/yUskm22yAm	0	сбербанк материнский капитал ипотека	сбербанк	141
Глава Сбербанка Герман Греф подтвердил намерение разместить международный финансовый центр (МФЦ) в Рублево-Архангельском, которое при...	0	глава сбербанк герман греф подтвердил намерение разместить международный финансовый центр ( мфц ) в рублево-архангельском , которое при ...	сбербанк	142
А как сбербанк-карте дать новый пароль? Я не могу запомнить 4 цифры второй карты. И как дурочка перевожу всё на ту, к которой пин знаю.	0	а как сбербанк -карте дать новый пароль ? я не могу запомнить 4 цифры второй карты . и как дурочка перевожу все на ту , к которой пин знаю .	сбербанк	143
@KatyaLaskina @sberbank мне больше нравится покупка кода itunes	0	сбербанк мне больше нравится покупка кода itunes	сбербанк	144
"справка для оформления кредита поручительства оао сбербанк россии шаблон скачать
 http://t.co/GQalQAXL3z"	0	справка для оформления кредита поручительства оао сбербанк россии шаблон скачать	сбербанк	145
Сбербанк подвел итоги работы своего розничного блока в 2013 году	0	сбербанк подвел итоги работы своего розничного блока в 2013 году	сбербанк	146
Заявление на ипотеку сбербанк | Кредитов - страница не найдена http://t.co/b7eNAUVCbz	0	заявление на ипотеку сбербанк кредитов - страница не найдена	сбербанк	147
Отчет по производственной практике по сбербанку валютный отдел: отчет по производственной практике по сбербанк... http://t.co/icn0o3Ebom	0	отчет по производственной практике по сбербанк валютный отдел : отчет по производственной практике по сбербанк ...	сбербанк	148
Сбербанк ориентируется на клиентов	1	сбербанк ориентируется на клиентов	сбербанк	149
"#RT #ru_ff На окраине Петербурга нашелся похищенный банкомат ""Сбербанка""  #ru"	-1	на окраине петербурга нашелся похищенный банкомат сбербанк	сбербанк	150
Сбербанк России, ты пьян, иди домой. http://t.co/RYFf1zDTxj	-1	сбербанк россии , ты пьян , иди домой .	сбербанк	151
где написан номер перевода на чеке сбербанк http://t.co/vt6TJTDgIO	0	где написан номер перевода на чеке сбербанк	сбербанк	152
список документов для получения кредита в сбербанке http://t.co/PWYDm0NCJ0	0	список документов для получения кредита в сбербанк	сбербанк	153
"«Уралкалий» привлекает кредитную линию «Сбербанка» на сумму $2 млрд: Чистый долг ""Уралкалия"" на конец 9 месяцев со... http://t.co/GoJ6f3sNZF"	0	уралкалий привлекает кредитную линию сбербанк на сумму 2 млрд : чистый долг уралкалия на конец 9 месяцев со ...	сбербанк	154
RT @Zathnaho: 100000 кредит в сбербанке http://t.co/rB0D4dGJ4C	0	100000 кредит в сбербанк	сбербанк	155
номер карты сбербанка сколько цифр.pdf http://t.co/eX9Jh3Y0AV	0	номер карты сбербанк сколько цифр . pdf	сбербанк	156
«Уралкалий» привлекает кредитную линию «Сбербанка» на сумму $2&amp;#8230;	0	уралкалий привлекает кредитную линию сбербанк на сумму 2 amp	сбербанк	157
