text	label	rus_entity	text_tok	textID
расскажи потом о впечатлениях... ) я тоже над покупкой такой штуки думала.. а то мтс - это жестоко)	-1	мтс	расскажи потом о впечатлениях ... ) я тоже над покупкой такой штуки думала .. а то мтс - это жестоко )	14
#Хабаровск : М ч познакомлюсь девушкой 30 лет мтс 89143125639	0	мтс	: м ч познакомлюсь девушкой 30 лет мтс 89143125639	15
RT @megafonru: Главная площадь Орла готовится ко Дню города. Старый город живет на сверхскоростях #megafon http://t.co/P8hAhZuyiA	1	мегафон	мегафон : главная площадь орла готовится ко дню города . старый город живет на сверхскоростях мегафон	16
"как же мне нравится реклама ""билайн""( про интернет на все устройства) 
-А мне интернет! 
-всем интернет."	1	билайн	как же мне нравится реклама билайн ( про интернет на все устройства ) - а мне интернет ! - всем интернет .	17
@MegaFonKomiPR очень лаконичная и интеллигентная подача, задумка ясна - рассчитано на думающих и читающих людей. Мне понравилось.	1	мегафон	мегафон очень лаконичная и интеллигентная подача , задумка ясна - рассчитано на думающих и читающих людей . мне понравилось .	18
цифрового телевидения билайн http://t.co/sCqwTNlFWe Настройка	0	билайн	цифрового телевидения билайн настройка	19
Теперь МТС! http://t.co/gOYDiIOIIk	0	мтс	теперь мтс !	20
RT @Borisich_glass: По Украине самый популярный оператор КиевСтар, но на Донбассе, по крайней мере, у ополченцев, МТС.	0	мтс	по украине самый популярный оператор киевстар , но на донбассе , по крайней мере , у ополченцев , мтс .	21
#мтс пишет, что отправленная СМС доставлена, но адресат с нулевым балансом ее не получил! Будьте внимательны.	-1	мтс	мтс пишет , что отправленная смс доставлена , но адресат с нулевым балансом ее не получил ! будьте внимательны .	22
"RT @kolydka: Мегафон сообщил, что полностью вывел свои валютные резервы 
- из евро - и долларов и перевел их в рубли - и гонконгские доллар…"	0	мегафон	мегафон сообщил , что полностью вывел свои валютные резервы - из евро - и долларов и перевел их в рубли - и гонконгские доллар	23
"RT @vokabipoqux: http://t.co/Sr1ScPVSfu На севере столицы произошел сбой связи в сети ""Вымпелком"""	-1	билайн	на севере столицы произошел сбой связи в сети билайн	24
И продолжаю убеждаться сейчас, когда, закончив очередной твит, я, как идиот, направляю телефон к небу, потому что так Мегафон ловит лучше	-1	мегафон	и продолжаю убеждаться сейчас , когда , закончив очередной твит , я , как идиот , направляю телефон к небу , потому что так мегафон ловит лучше	25
"@NothingLikeUs22 да модем "" Билайн"""	0	билайн	да модем билайн	26
«Ростелеком» подключил 100 тысяч корпоративных клиентов в Сибири.«Ростелеком» подключил 100 тысяч бизнес-клиентов к услуге Интернет на терр	1	ростелеком	ростелеком подключил 100 тысяч корпоративных клиентов в ростелеком подключил 100 тысяч бизнес-клиентов к услуге интернет на терр	27
@Beeline_RUS сложно и нет желания	-1	билайн	билайн сложно и нет желания	28
МТС возвращается в Узбекистан после двух лет отсутствия. Компании удалось вернуть изъятое у нее оборудование и частоты	1	мтс	мтс возвращается в узбекистан после двух лет отсутствия . компании удалось вернуть изъятое у нее оборудование и частоты	29
@achgere Здравствуйте! Напишите, пожалуйста,  почему решили нас покинуть? #билайн	-1	билайн	здравствуйте ! напишите , пожалуйста , почему решили нас покинуть ? билайн	30
@Arinalinad Пожалуйста, дайте нам знать, если понадобится наша помощь. #билайн	0	билайн	пожалуйста , дайте нам знать , если понадобится наша помощь . билайн	31
RT @restset_inver19: ОАО «Мобильные Телесистемы» не смогло договориться с американской корпорацией Apple о прямом контракте на закупку смар…	-1	мтс	оао мтс не смогло договориться с американской корпорацией apple о прямом контракте на закупку смар	32
Ещё немного честной лиги и теле2 #честнаялига#теле2 #tele2 #job http://t.co/PomdaFlHbZ	0	теледва	ещ немного честной лиги и теледва теледва теледва	33
@Beeline_RUS уже все наладилось. Более менее	0	билайн	билайн уже все наладилось . более менее	34
@Borisich_glass на востоке МТС, а на западе Киевстар	0	мтс	на востоке мтс , а на западе киевстар	35
#Донецк Снаряд залетел на подстанцию, которая питает Петровку, Текстильщик, Широкий.МТС лежит, Электричества там, вероятно, долго не будет.	-1	мтс	снаряд залетел на подстанцию , которая питает петровку , текстильщик , мтс лежит , электричества там , вероятно , долго не будет .	36
@Fin_bell Киевстар принадлежит билайну. Он же вымпелком	0	билайн	киевстар принадлежит билайн . он же билайн	37
https://t.co/jQfdKRA2jZ usb модема mts е1550 https://t.co/pbmpxdj0yx	0	мтс	usb модема мтс е 1550	38
настройка дир 615 к билайну http://t.co/UuCTVTSQU8	0	билайн	настройка дир 615 к билайн	39
Ну что потянет интернет от Мегафона какую-нить сопку в дали от столицы? Пока глушняк #Е5	-1	мегафон	ну что потянет интернет от мегафон какую-нить сопку в дали от столицы ? пока глушняк	40
#новости Beeline и Ucell предупредили о проблемах со связью в день начала экзаменов в Узбекистане: Вчера, авгу... http://t.co/p1jU7fWkH3	-1	билайн	билайн и ucell предупредили о проблемах со связью в день начала экзаменов в узбекистане : вчера , авгу ...	41
#Крым Киевстар прекратит свою работу в Крыму,вывески уже снимают,сотрудников обучают пришельцы из рос Билайна	0	билайн	киевстар прекратит свою работу в крыму , вывески уже снимают , сотрудников обучают пришельцы из рос билайн	42
@MegaFon_SZ_Help купите уже себе нормальные компьютеры с лицензионным ПО, чтобы не было этой ерунды @sd0107	-1	мегафон	мегафон купите уже себе нормальные компьютеры с лицензионным по , чтобы не было этой ерунды	43
Как должна была выглядеть реклама - Tele2: http://t.co/dj7ef9GVLp на @YouTube	0	теледва	как должна была выглядеть реклама - теледва : на	44
RT @Elli1709: Настройки ммс билайн iphone http://t.co/PUsmLowinV	0	билайн	настройки ммс билайн iphone	45
@Beeline_RUS Добрый день нету интернета, даже в лич.каб.зайти нельзя. Что такое?? #курск	-1	билайн	билайн добрый день нету интернета , даже в лич . каб . зайти нельзя . что такое ??	46
@Beeline_RUS дорогой Билайн, это что за бред? Только скидка подключена и тут же отключена?? Глюк или что?? http://t.co/6z7uiJx8tf	-1	билайн	билайн дорогой билайн , это что за бред ? только скидка подключена и тут же отключена ?? глюк или что ??	47
@ArinaWow их 3G летает у меня, а не мегафоне 4G даже говном был. И плачу меньше. А на МТС деньги всегда со счета пропадали. Так что, билайн	-1	мегафон	их 3 g летает у меня , а не мегафон 4 g даже говном был . и плачу меньше . а на мтс деньги всегда со счета пропадали . так что , билайн	48
@megafonru да, вчера в Абонентской Службе отключили спам-подписку, что-то еще сделали и все заработала.  Спасибо им за это! Спам одолевает	1	мегафон	мегафон да , вчера в абонентской службе отключили спам-подписку , что-то еще сделали и все заработала . спасибо им за это ! спам одолевает	49
@ArinaWow их 3G летает у меня, а не мегафоне 4G даже говном был. И плачу меньше. А на МТС деньги всегда со счета пропадали. Так что, билайн	-1	мтс	их 3 g летает у меня , а не мегафон 4 g даже говном был . и плачу меньше . а на мтс деньги всегда со счета пропадали . так что , билайн	50
"Лол было минус 85.35
А сейчас минус 84.99
Мегафон- это магия"	-1	мегафон	лол было минус 85.35 а сейчас минус 84.99 мегафон - это магия	51
"@thevoan, пока в Крыму для подключения доступен только тарифный план ""Супер МТС"", описание аналогично как для Краснодарского края. ^АВ #МТС"	0	мтс	пока в крыму для подключения доступен только тарифный план супер мтс , описание аналогично как для краснодарского края . ав мтс	52
@too_much_rain, уточните, пожалуйста, Ваш номер. Постараемся помочь. ^АВ #МТС	0	мтс	уточните , пожалуйста , ваш номер . постараемся помочь . ав мтс	53
«Ростелеком» подключил 100 тысяч корпоративных клиентов в Сибири. «Ростелеком» подключил 100 тысяч бизнес-клиентов к услуге Интернет на тер	1	ростелеком	ростелеком подключил 100 тысяч корпоративных клиентов в сибири . ростелеком подключил 100 тысяч бизнес-клиентов к услуге интернет на тер	54
#МТС #Антрацит: налетай, заработало!	1	мтс	мтс налетай , заработало !	55
Скорость отличная, но лично у меня много претензий по качеству связи Мегафона.	-1	мегафон	скорость отличная , но лично у меня много претензий по качеству связи мегафон .	56
Лучшая деловая репутация &amp;#8211; у МТС, Газпрома и Внешторгбанка	1	мтс	лучшая деловая репутация amp у мтс , газпрома и внешторгбанка	57
@ArinaWow их 3G летает у меня, а не мегафоне 4G даже говном был. И плачу меньше. А на МТС деньги всегда со счета пропадали. Так что, билайн	1	билайн	их 3 g летает у меня , а не мегафон 4 g даже говном был . и плачу меньше . а на мтс деньги всегда со счета пропадали . так что , билайн	58
#runews Beeline и Ucell предупредили о проблемах со связью в день начала экзаменов в Узбекистане: Вчера, авгус... http://t.co/iL7pKKLxTr	-1	билайн	билайн и ucell предупредили о проблемах со связью в день начала экзаменов в узбекистане : вчера , авгус ...	59
Сотый раз спасибо мегафону за хороший интернет в метро	1	мегафон	сотый раз спасибо мегафон за хороший интернет в метро	60
Если у вас не работает Ростелеком интернет, то проще найти решение проблемы в интернете, чем звонить в тех. поддержку	-1	ростелеком	если у вас не работает ростелеком интернет , то проще найти решение проблемы в интернете , чем звонить в тех . поддержку	61
RT @ht_mail_ru: «МегаФон» отказывается от долларов США http://t.co/fjwung9HdE	0	мегафон	мегафон отказывается от долларов сша	62
"Теперь у меня на даче есть пристойный интернет! 
Ибо Билайн, да."	1	билайн	теперь у меня на даче есть пристойный интернет ! ибо билайн , да .	63
"Beeline и Ucell предупредили о проблемах со связью в день начала экзаменов в Узбекистане
http://t.co/BfmBviPmtK"	-1	билайн	билайн и ucell предупредили о проблемах со связью в день начала экзаменов в узбекистане	64
Изначально мы договорились с мегафоном , а тут чехорда с законом о бесплатных входящих началась у него внутри бардак полный и он отказался.	-1	мегафон	изначально мы договорились с мегафон , а тут чехорда с законом о бесплатных входящих началась у него внутри бардак полный и он отказался .	65
Дер мегафон. За пределами домашнего региона 9,9 руб за мегабайт.	0	мегафон	дер мегафон . за пределами домашнего региона 9,9 руб за мегабайт .	66
Настройка модема мтс на планшете http://t.co/wTSCsyxMZh	0	мтс	настройка модема мтс на планшете	67
@EvaDarik =&gt;пожалуйста, извинения, за эту неприятную ситуацию.  Мы направим Вам SMS, как только завершим работы. #билайн	-1	билайн	пожалуйста , извинения , за эту неприятную ситуацию . мы направим вам sms , как только завершим работы . билайн	68
@Tolmachevaaa, для проверки работы Интернет-услуг нам понадобятся данные по примеру: http://t.co/ETLqGM3mUP. ^АВ #МТС	0	мтс	для проверки работы интернет-услуг нам понадобятся данные по примеру : ав мтс	69
скачать оперу мини от мтс http://t.co/hczjiupUoH	0	мтс	скачать оперу мини от мтс	70
@DanilaThomas, есть возможность отправить SIM почтой России, срок доставки от 3 до 10 дней. ^АВ #МТС	0	мтс	есть возможность отправить sim почтой россии , срок доставки от 3 до 10 дней . ав мтс	71
Крупные компании пока не планируют мигрировать с платформы Microsoft Windows XP #Apple #Мегафон	0	мегафон	крупные компании пока не планируют мигрировать с платформы microsoft windows xp мегафон	72
@RezvayaKozochka Напишите о сложившейся ситуации нашим коллегам @MegaFonDV_Help	0	мегафон	напишите о сложившейся ситуации нашим коллегам мегафон	73
@Dima_Erykalov @Hockey_Bird её разбавят сраным мегафоном на рукавах	-1	мегафон	е разбавят сраным мегафон на рукавах	74
@ru_mts Спасибо, все восстановилось.	1	мтс	мтс спасибо , все восстановилось .	75
@tvrain было бы о чем переживать,уже в полном ходу у нас российский мтс;).	1	мтс	было бы о чем переживать , уже в полном ходу у нас российский мтс ) .	76
Я бля МТСу спокойно жить не дам	-1	мтс	я бля мтс спокойно жить не дам	77
Ротенберг станет акционером «Ростелекома»	0	ростелеком	ротенберг станет акционером ростелеком	78
Сумасшедший Билайн. http://t.co/ZgN0OjykIO	-1	билайн	сумасшедший билайн .	79
Чорт. Хочу в билайне поработать	1	билайн	чорт . хочу в билайн поработать	80
С сегодняшнего дня абоненты МТС, которые вынуждены временно покидать свои дома в восточных регионах Украины и Крыму, и нуждаются в пом...	-1	мтс	с сегодняшнего дня абоненты мтс , которые вынуждены временно покидать свои дома в восточных регионах украины и крыму , и нуждаются в пом ...	81
RT @vadim_dergachev: Буду благодарен тому, кто пополнит счет моего телефона. 8-926-153-07-01 (Мегафон).	0	мегафон	буду благодарен тому , кто пополнит счет моего телефона . 8-926-153-07-01 мегафон ) .	82
Когда ВЫ @ru_mts перестанете рассылать ЕБАНЫЙ спам по смс?	-1	мтс	когда вы мтс перестанете рассылать ебаный спам по смс ?	83
@Beeline_RUS сам. Вы своей вины не видите вот поэтому от вас и уходят вип клиенты и замете без сохранения номера потому что вы просрали базы	-1	билайн	билайн сам . вы своей вины не видите вот поэтому от вас и уходят вип клиенты и замете без сохранения номера потому что вы просрали базы	84
Мегафон повысил цены на старые тарифы на 20 %	-1	мегафон	мегафон повысил цены на старые тарифы на 20	85
"http://t.co/NmbIlehncl ""Мегафон"" конвертировал около 40% своих депозитов, хранившихся в долларах США и евро, в гонконгские д"	0	мегафон	мегафон конвертировал около 40 своих депозитов , хранившихся в долларах сша и евро , в гонконгские д	86
Модем мтс инструкция http://t.co/grgMGuibut	0	мтс	модем мтс инструкция	87
Tele2 открыла седьмой салон связи в формате супермаркета в Вологодской области	1	теледва	теледва открыла седьмой салон связи в формате супермаркета в вологодской области	88
https://t.co/Ep8ImZAw1r Как узнать услуги мегафон	0	мегафон	как узнать услуги мегафон	89
Пришло смс, подумала, что кому-то нужна, а нет, МТС предупредил, что деньги на телефоне заканчиваются.	-1	мтс	пришло смс , подумала , что кому-то нужна , а нет , мтс предупредил , что деньги на телефоне заканчиваются .	90
RT @goecudethe: «Ростелеком» смог отсрочить оказание универсальных услуг только до июля	0	ростелеком	ростелеком смог отсрочить оказание универсальных услуг только до июля	91
да оно последние несколько дней на мтс криво открывается - иногда нормально, а иногда отпадает	-1	мтс	да оно последние несколько дней на мтс криво открывается - иногда нормально , а иногда отпадает	92
Tele2 переходит на новую макрорегиональную структуру.Tele2 объявляет об изменении своей макрорегиональной структуры в рамках интеграции сот	0	теледва	теледва переходит на новую макрорегиональную теледва объявляет об изменении своей макрорегиональной структуры в рамках интеграции сот	93
Подарки за пополнение счета МТС в терминалах «Банк24 Национальный кредит»	1	мтс	подарки за пополнение счета мтс в терминалах банк 24 национальный кредит	94
Вчера вкурил гигантское количество манов по работе с клиентами и с системами МТСа, целый вагон вещей, которые нужно знать.	0	мтс	вчера вкурил гигантское количество манов по работе с клиентами и с системами мтс , целый вагон вещей , которые нужно знать .	95
«ГАЗ» выиграл тендер  «Ростелекома».Более трехсот автомобилей поставил Горьковский автомобильный завод «Группы ГАЗ» российской телекоммуник	0	ростелеком	газ выиграл тендер ростелеком . более трехсот автомобилей поставил горьковский автомобильный завод группы газ российской телекоммуник	96
Yota спасла «МегаФон» от стагнации	0	мегафон	yota спасла мегафон от стагнации	97
Кто знает что с этим ёбилайном ? почему связь не работает ? (	-1	билайн	кто знает что с этим билайн ? почему связь не работает ? (	98
Инструкция по подключению интернета ростелеком http://t.co/qRCez83N92	0	ростелеком	инструкция по подключению интернета ростелеком	99
@SylarMG, с тарифным планом можно ознакомиться здесь: http://t.co/cHOxVnHvOA. ^ДП #МТС	0	мтс	с тарифным планом можно ознакомиться здесь : дп мтс	100
Самому скоростному оператору самый бодрый ведущий!) Площадка #МегаФон #Чувашия #МегаАренна @ Площадь… http://t.co/yWxn1Zi5Aw	1	мегафон	самому скоростному оператору самый бодрый ведущий ! ) площадка мегафон площадь	101
«Комстар-ОТС» строит сеть передачи данных для ВТБ24 в Санкт-Петербурге	0	комстар	комстар-отс строит сеть передачи данных для втб 24 в санкт-петербурге	102
Украинские мобильные операторы 5 августа прекращают работу в Крыму / #киевстар #мтс #лайф #укртелеком #интертелеко.. http://t.co/droqdZKXno	-1	мтс	украинские мобильные операторы 5 августа прекращают работу в крыму мтс	103
справочник билайн связи http://t.co/CutrNbj8F4 #справочник	0	билайн	справочник билайн связи	104
@Beeline_RUS получилось) спасибо)	1	билайн	билайн получилось ) спасибо )	105
Купила мтс.	0	мтс	купила мтс .	106
Megafon 4G новый телефон и новые скорости мобильного интернета:-)  @megafonru happines	1	мегафон	мегафон 4 g новый телефон и новые скорости мобильного интернета : - ) мегафон happines	107
У Мегафона не везде сплошное покрытие базовыми станциями. Они сейчас над этим работают. В этом плане у МТС покрытие лучше.	-1	мегафон	у мегафон не везде сплошное покрытие базовыми станциями . они сейчас над этим работают . в этом плане у мтс покрытие лучше .	108
@ru_mts обязательно.	0	мтс	мтс обязательно .	109
У Мегафона не везде сплошное покрытие базовыми станциями. Они сейчас над этим работают. В этом плане у МТС покрытие лучше.	1	мтс	у мегафон не везде сплошное покрытие базовыми станциями . они сейчас над этим работают . в этом плане у мтс покрытие лучше .	110
@pashamasha Новые тарифы от МТС. Тариф Деревенский: абонентская плата  4 яйца, подключение  телега навоза!	-1	мтс	новые тарифы от мтс . тариф деревенский : абонентская плата 4 яйца , подключение телега навоза !	111
Вслед за МегаФоном новый приют для своих денег нашли Норникель и Новатэк	0	мегафон	вслед за мегафон новый приют для своих денег нашли норникель и новатэк	112
договор аренды части нежилого помещения с билайном образец http://t.co/RTL0WLv2yn #билайном #с	0	билайн	договор аренды части нежилого помещения с билайн образец билайн	113
"-198 рублей.
МТС ТЫ ГАВНО СРАНОЕ"	-1	мтс	- 198 рублей . мтс ты гавно сраное	114
RT @doqejezoguqy: Внеочередное собрание акционеров МегаФона назначено на 22 сентября	0	мегафон	внеочередное собрание акционеров мегафон назначено на 22 сентября	115
Тот самый момент, когда даже МТС не поздравляет	-1	мтс	тот самый момент , когда даже мтс не поздравляет	116
#билайн интернет, пинг в левом нижнем углу, даже dial-up в свое время такого не выдавал, позорище http://t.co/diiG76ihKq	-1	билайн	билайн интернет , пинг в левом нижнем углу , даже dial-up в свое время такого не выдавал , позорище	117
Инфа из МТС, на следующей неделе в Смоленске будет 4G :))	1	мтс	инфа из мтс , на следующей неделе в смоленске будет 4 g :))	118
Бесплановый билаин	0	билайн	бесплановый билайн	119
@megafonru @verlonimusic уходил в билайн, предложили остаться, обещали скидку20%, остался, скидок нет,НАДУРИЛ МЕГАФОН?А ведь старый клиент!	-1	мегафон	мегафон уходил в билайн , предложили остаться , обещали скидку 20 , остался , скидок нет , надурил мегафон ? а ведь старый клиент !	120
@megafonru @verlonimusic уходил в билайн, предложили остаться, обещали скидку20%, остался, скидок нет,НАДУРИЛ МЕГАФОН?А ведь старый клиент!	0	билайн	мегафон уходил в билайн , предложили остаться , обещали скидку 20 , остался , скидок нет , надурил мегафон ? а ведь старый клиент !	121
"Билайн обожаю тебя!!!!
У меня премиум в до завтра!!"	1	билайн	билайн обожаю тебя !!!! у меня премиум в до завтра !!	122
билайн ты надоел :( у меня экзамен завтра, сжалься, а. #RT	-1	билайн	билайн ты надоел :( у меня экзамен завтра , сжалься , а .	123
"Как МТС, ""Билайн"" и ""Мегафон"" защищают от мобильных мошенников. СЕКРЕТЫ"	1	мегафон	как мтс , билайн и мегафон защищают от мобильных мошенников . секреты	124
"Как МТС, ""Билайн"" и ""Мегафон"" защищают от мобильных мошенников. СЕКРЕТЫ"	1	мтс	как мтс , билайн и мегафон защищают от мобильных мошенников . секреты	125
"Как МТС, ""Билайн"" и ""Мегафон"" защищают от мобильных мошенников. СЕКРЕТЫ"	1	билайн	как мтс , билайн и мегафон защищают от мобильных мошенников . секреты	126
пошаговая инструкция распечатки звонков билайн http://t.co/n0fLZR1gF5 #распечатки	0	билайн	пошаговая инструкция распечатки звонков билайн	127
RT @ElviraPVK: Драйвера для мтс коннект скачать http://t.co/T3f2wznMbw	0	мтс	драйвера для мтс коннект скачать	128
RT @tiprepist: #Скачать игру лего звездные войны на мтс 970 http://t.co/lMJeB3ncZR	0	мтс	игру лего звездные войны на мтс 970	129
"А вот, кажется, и блокировки пошли:А ""пора-валить"" давно забанили в России? У меня нижегородский Ростелеком и вместо страницы с комментами"	-1	ростелеком	а вот , кажется , и блокировки пошли : а пора-валить давно забанили в россии ? у меня нижегородский ростелеком и вместо страницы с комментами	130
RT @palnom6: Теперь в список просмотренных мною сериалов можно добавить рекламу Билайн со Светлаковым и МТС с Нагиевым)	0	билайн	теперь в список просмотренных мною сериалов можно добавить рекламу билайн со светлаковым и мтс с нагиевым )	131
МТС объединяет школьников, учителей и родителей на едином портале. &amp;nbsp;Один из &amp;nbsp;самых популярных операторов России объявил о создани	0	мтс	мтс объединяет школьников , учителей и родителей на едином портале . amp nbsp один из amp nbsp самых популярных операторов россии объявил о создани	132
Нормально так у меня в #щербинка на станции летает #LTE megafon @ Ж/д станция Щербинка http://t.co/sYz5ZOgjMP	1	мегафон	нормально так у меня в на станции летает мегафон ж д станция щербинка	133
"RT @advakhova: Где.вай фай.сука.
Почему Билайн ""Е"""	-1	билайн	где . вай фай . сука . почему билайн е	134
Думаю, нужно будет купиь себе вторую симку. Мегафоновскую.	1	мегафон	думаю , нужно будет купиь себе вторую симку . мегафон .	135
У меня Ростелеком провайдер, вчера вечером с трудом выходила хоть куда-то. Еле-еле грузились страницы, а потом и вовсе всё замерло.	-1	ростелеком	у меня ростелеком провайдер , вчера вечером с трудом выходила хоть куда-то . еле-еле грузились страницы , а потом и вовсе вс замерло .	136
@Oblivion_LLFD @MyFavoriteObli Что за хуйня? Я ещё в интеренете? Может в билайне третье с 6 начинается или блять что?	-1	билайн	что за хуйня ? я ещ в интеренете ? может в билайн третье с 6 начинается или блять что ?	137
RT @palnom6: Теперь в список просмотренных мною сериалов можно добавить рекламу Билайн со Светлаковым и МТС с Нагиевым)	0	мтс	теперь в список просмотренных мною сериалов можно добавить рекламу билайн со светлаковым и мтс с нагиевым )	138
#RT Весь день нет сети!!! Ужас МТС меня подводит!! Иду завтра менять симку!	-1	мтс	весь день нет сети !!! ужас мтс меня подводит !! иду завтра менять симку !	139
@artroman Ты почему билайну изменил?)	-1	билайн	ты почему билайн изменил ? )	140
Tele2 отчиталась о проделанной работе социальной направленности. Москва – Tele2 Россия, альтернативный оператор мобильной связи, выпустил п	0	теледва	теледва отчиталась о проделанной работе социальной направленности . москва теледва россия , альтернативный оператор мобильной связи , выпустил п	141
@MegaFon_Kavkaz вот ваша хваленная скорость. http://t.co/SRUiP418Fb	-1	мегафон	мегафон вот ваша хваленная скорость .	142
база мтс беларусь http://t.co/K8sAwZE90v	0	мтс	база мтс беларусь	143
@eugenty Проверьте, пожалуйста, @MegaFon_SZ_Help	0	мегафон	проверьте , пожалуйста , мегафон	144
Ростелеком задействовал в Ереване цепь со скоростью в 40 Гб/с	1	ростелеком	ростелеком задействовал в ереване цепь со скоростью в 40 гб с	145
Во вторник из Крыма пропадет МТС	-1	мтс	во вторник из крыма пропадет мтс	146
Чот сеть билайна тупит 	-1	билайн	чот сеть билайн тупит	147
Друзья! У кого есть ненужный номер МТС - погонять на месяц? Одолжите?	0	мтс	друзья ! у кого есть ненужный номер мтс - погонять на месяц ? одолжите ?	148
Друзья, а у вас на МТС 3G в Красной Поляне как работает?	0	мтс	друзья , а у вас на мтс 3 g в красной поляне как работает ?	149
инструкция смартфон мтс 970 http://t.co/L4KIzCyxcF #инструкция	0	мтс	инструкция смартфон мтс 970	150
RT @hunter_jonson: Настройки подключения модема мтс http://t.co/to4qgurUEe	0	мтс	настройки подключения модема мтс	151
Как подключить модем скайлинк https://t.co/nfssMYr7bv	0	скайлинк	как подключить модем скайлинк	152
В Крыму мобильная украинская связь (киевстар, лайф, мтс) работает хорошо. Не верьте вбросам РФ СМИ. Я была в Крыму 2 недели ,все ок.	1	мтс	в крыму мобильная украинская связь ( киевстар , лайф , мтс ) работает хорошо . не верьте вбросам рф сми . я была в крыму 2 недели , все ок .	153
Руководство компании МТС боится сказать Николаю Валуеву, что он больше не будет сниматься в их рекламе.	0	мтс	руководство компании мтс боится сказать николаю валуеву , что он больше не будет сниматься в их рекламе .	154
